날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"","두부양념장 (5)(6)","72.420","계란찜 (1)(9)","108.290","백김치 (9)","16.800","","",""
"","깍두기 (9)","17.100","배추김치 (9)","10.500","","","","",""
"","","744.530","","1045.340","","1150.190","","242.910","3182.970"
"20200312","밥","363.000","콩나물밥&달래양념장 (5)(6)(16)","454.150","새우버거 (1)(6)(9)(12)","1123.530","우유(백색우유(200ML,연간)) (2)","122.000",""
"","쇠고기버섯들깨탕 (5)(16)","97.460","근대된장국 (5)(6)","54.030","혼합시리얼","126.000","딸기,신선형(딸기(34월))","36.000",""
"","맛김","5.250","오징어볶음 (5)(6)(17)","261.290","","","","",""
"","생선묵조림 (5)(6)","135.990","배추김치 (9)","10.500","","","","",""
"","배추김치 (9)","10.500","","","","","","",""
"","","612.200","","779.970","","1249.530","","158.000","2799.700"
"20200313","밥","363.000","잡곡밥","373.390","밥","363.000","우유(백색우유(200ML,연간)) (2)","122.000",""
"","조갯살미역국 (5)(18)","12.950","김치찌개 (5)(9)(10)","160.860","순두부국 (1)(5)(16)(18)","78.610","방울토마토 (12)","18.000",""
"","햄슬라이스야채볶음 (5)(6)(10)","224.440","떡볶이 (1)(5)(6)","475.090","돼지고기가지볶음 (5)(6)(10)","346.960","","",""
"","오이부추무침 (5)(6)","30.320","연근튀김 (5)(6)","358.350","시금치무침 (5)(6)","29.160","","",""
"","배추김치 (9)","10.500","깍두기 (9)","17.100","배추김치 (9)","10.500","","",""
"","","641.210","","1384.790","","828.230","","140.000","2994.230"
"20200314","밥","363.000","밥","363.000","조밥","369.960","우유(백색우유(200ML,연간)) (2)","122.000",""
"","콩나물국 (5)","29.410","광어매운탕 (5)(6)","150.030","닭고기육개장 (1)(5)(15)","226.910","딸기,신선형(딸기(34월))","36.000",""
"","맛김","5.250","새송이버섯야채볶음 (5)(6)(10)","119.740","호박볶음 (5)(6)(9)(10)","103.620","오렌지 주스(200㎖/팩)","96.000",""
"","계란찜 (1)(9)","108.290","중화식잡채 (5)(6)(16)","189.570","양파간장절임 (5)(6)","54.910","라면(즉석 컵) (6)","365.000",""
"","깍두기 (9)","17.100","배추김치 (9)","10.500","배추김치 (9)","10.500","","",""
"","","523.050","","832.840","","765.900","","619.000","2740.790"
"20200315","밥","363.000","현미밥","370.260","밥","363.000","우유(백색우유(200ML,연간)) (2)","122.000",""
"","생선묵국 (5)(6)","65.840","비엔나소시지찌개 (9)(10)","135.490","아욱고추장찌개 (5)(6)(16)","80.650","곶감, 냉동식","120.910",""
"","돈육표고장조림 (5)(6)(10)","302.590","두부조림 (5)(6)(10)","103.910","갈릭새우살버터볶음 (9)","146.380","배 주스(238㎖/캔)","116.000",""
"","무생채 (5)(6)","30.640","부추겉절이 (5)(6)","31.740","감자매운조림 (5)(6)","76.590","건빵(개선품) (1)(2)(3)","249.000",""
"","배추김치 (9)","10.500","백김치 (9)","16.800","배추김치 (9)","10.500","","",""
"","","772.570","","658.200","","677.120","","607.910","2715.800"
"20200316","햄야채덮밥 (5)(6)(10)(12)","680.350","찰보리밥","367.910","밥","363.000","우유(백색우유(200ML,연간)) (2)","122.000",""
"","순두부찌개 (1)(5)(10)(17)(18)","126.690","짬뽕찌개 (5)(9)(10)(17)(18)","112.440","쇠고기미역국 (5)(16)","37.800","농후 발효유 (2)","96.000",""
"","콩나물무침 (5)(6)","42.280","탕수육(완) (5)(6)(10)(12)","571.420","고추참치마파두부 (5)(6)","161.740","","",""
"","배추김치 (9)","10.500","과일샐러드 (1)(12)","96.200","우엉조림 (5)(6)","81.460","","",""
"","","","깍두기 (9)","17.100","배추김치 (9)","10.500","","",""
"","","859.820","","1165.070","","654.500","","218.000","2897.390"
"20200317","밥","363.000","생우동 (6)","390.830","잡곡밥","373.390","과일푸딩","126.000",""
"","계란국 (1)(5)","71.940","돈가스 (6)(10)","727.900","감자양파찌개 (5)(6)","76.860","우유(백색우유(200ML,연간)) (2)","122.000",""
"","돼지고기김치볶음 (9)(10)","221.950","단무지","12.600","쇠고기불고기 (5)(6)(16)","129.540","","",""
"","맛김","5.250","배추김치 (9)","10.500","오징어젓무침 (17)","54.040","","",""
"","깍두기 (9)","17.100","","","배추김치 (9)","10.500","","",""
"","","679.240","","1141.830","","644.330","","248.000","2713.400"
