날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-10-03","깍두기(임가공)","28.75kcal","배추김치(10~11월)","11kcal","배추김치(10~11월)","11kcal","","","2945.38kcal"
"2021-10-03","우유(백색우유(200ML,연간))(02)","122kcal","오렌지 주스(200㎖/팩)","96kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","2945.38kcal"
"2021-10-03","","","라면(즉석 컵)(06)","365kcal","","","","","2945.38kcal"
"2021-10-04","밥","363kcal","흑미밥","381.75kcal","밥","363kcal","","","2950.78kcal"
"2021-10-04","만둣국(01)(05)(06)(10)","249.35kcal","새우살아욱국(05)(06)(09)","66.12kcal","쇠고기무국(05)(16)","66.99kcal","","","2950.78kcal"
"2021-10-04","오징어볶음(05)(06)(17)","202.43kcal","돈육청경채볶음(05)(06)(10)","335.24kcal","미트볼양념조림(01)(05)(06)(10)","450.13kcal","","","2950.78kcal"
"2021-10-04","배추찜(05)(06)","45.29kcal","조미김","0kcal","도라지오이무침(06)","73.59kcal","","","2950.78kcal"
"2021-10-04","깍두기(임가공)","28.75kcal","고구마샐러드(01)","125.14kcal","배추김치(10~11월)","11kcal","","","2950.78kcal"
"2021-10-04","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(10~11월)","11kcal","","","","","2950.78kcal"
"2021-10-04","","","유산균 발효 음료(02)","56kcal","","","","","2950.78kcal"
"2021-10-05","밥","363kcal","쇠고기국밥(05)(16)","496.98kcal","자장밥(05)(06)(10)","780.8kcal","","","3123.15kcal"
"2021-10-05","햄김치찌개(10)","195.33kcal","김자반","21.5kcal","짬뽕찌개(05)(10)(17)","94.6kcal","","","3123.15kcal"
"2021-10-05","가지굴소스쇠고기볶음(05)(06)(16)","177.02kcal","양배추,브로콜리&초고추장(06)","74.68kcal","탕수육(완제품용)(05)(06)(10)","488.3kcal","","","3123.15kcal"
"2021-10-05","감자매운조림(05)(06)","78.5kcal","골뱅이오징어채무침(06)(17)","128.95kcal","생양파(05)","19.86kcal","","","3123.15kcal"
"2021-10-05","깍두기(임가공)","28.75kcal","배추김치(10~11월)","11kcal","모듬김치","14.33kcal","","","3123.15kcal"
"2021-10-05","우유(백색우유(200ML,연간))(02)","122kcal","사과(홍로)","27.552kcal","","","","","3123.15kcal"
"2021-10-06","밥","363kcal","잡곡밥","366.09kcal","밥","363kcal","","","2947.49kcal"
"2021-10-06","순두부찌개(01)(05)(06)(10)","105.99kcal","얼큰한오징어국(05)(06)(17)","85.51kcal","돼지고기김치찌개(05)(10)","118.68kcal","","","2947.49kcal"
"2021-10-06","비엔나소시지야채볶음(05)(06)(10)(12)","282.58kcal","애호박조갯살나물(09)","49.93kcal","표고버섯감자볶음(05)(06)","73.9kcal","","","2947.49kcal"
"2021-10-06","오이풋고추된장무침(05)","47.22kcal","갈비맛통닭(01)(05)(06)(15)","608.37kcal","조미김","0kcal","","","2947.49kcal"
"2021-10-06","배추김치(10~11월)","11kcal","배추김치(10~11월)","11kcal","계란장조림(01)(05)(06)(16)","109.96kcal","","","2947.49kcal"
"2021-10-06","우유(백색우유(200ML,연간))(02)","122kcal","포도 주스(180㎖/캔)","84.51kcal","가공우유(딸기맛)(02)","116kcal","","","2947.49kcal"
"2021-10-06","","","","","깍두기(임가공)","28.75kcal","","","2947.49kcal"
"2021-10-07","밥","363kcal","찰보리밥","378.8kcal","돈까스치즈버거(01)(02)(06)(10)(12)","1062.97kcal","","","3498.62kcal"
"2021-10-07","근대콩나물조개국(05)","19.69kcal","돼지고기육개장(01)(05)(10)","114.97kcal","감자튀김(12)","373.53kcal","","","3498.62kcal"
"2021-10-07","쇠고기불낙볶음(05)(06)(16)","127.11kcal","크림떡볶이","214.42kcal","토마토슬라이스(12)","7.13kcal","","","3498.62kcal"
"2021-10-07","계란후라이(01)","97.91kcal","고등어순살조림(05)(06)(07)","137.99kcal","시리얼","152.8kcal","","","3498.62kcal"
