날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-10-24","감자채볶음","61.76kcal","버섯쇠고기찌개(05)(16)","55.23kcal","시금치된장국(05)(06)","34.06kcal","","","2428.07kcal"
"2021-10-24","오징어채무침(01)(06)(17)","78.54kcal","맛김","0kcal","돼지고기고추장볶음(05)(06)(10)","343.97kcal","","","2428.07kcal"
"2021-10-24","배추김치(10~11월)","25.74kcal","닭매운찜(콩나물)(05)(06)(15)","214.51kcal","오이무침(05)(06)","24.84kcal","","","2428.07kcal"
"2021-10-24","우유(백색우유(200ML,연간))(02)","122kcal","두부조림(05)(06)","96.16kcal","배추김치(10~11월)","25.74kcal","","","2428.07kcal"
"2021-10-24","","","배추김치(10~11월)","25.74kcal","","","","","2428.07kcal"
"2021-10-24","","","비타민음료","90kcal","","","","","2428.07kcal"
"2021-10-25","밥","363kcal","찹쌀밥","437.67kcal","밥","363kcal","","","3442.99kcal"
"2021-10-25","쇠고기미역국(05)(16)","38.38kcal","꼬리곰탕","558.97kcal","쇠고기육개장(01)(05)(16)","78.75kcal","","","3442.99kcal"
"2021-10-25","꽈리고추멸치볶음(05)(06)","69.78kcal","동그랑땡구이(01)(12)","78.26kcal","팝콘형치킨너겟(01)(06)(12)","553.56kcal","","","3442.99kcal"
"2021-10-25","비엔나소시지케찹조림(05)(06)(10)(12)","279.15kcal","오징어초고추장무침(05)(06)","161.46kcal","맛김","0kcal","","","3442.99kcal"
"2021-10-25","배추김치(10~11월)","25.74kcal","깍두기(임가공)","28.95kcal","고등어순살조림(05)(06)(07)","136.28kcal","","","3442.99kcal"
"2021-10-25","","","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(10~11월)","25.74kcal","","","3442.99kcal"
"2021-10-25","","","","","주스,망고코넛(340ml/캔)","122.3kcal","","","3442.99kcal"
"2021-10-26","밥","363kcal","잡곡밥","383.57kcal","밥","363kcal","","","2628.09kcal"
"2021-10-26","콩나물김치국(05)","27.49kcal","두부된장찌개(05)(06)","58.23kcal","호박고추장찌개(05)(06)(09)(10)","102.73kcal","","","2628.09kcal"
