날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-16","오이고추장무침(06)","32.81kcal","단무지무침","11.27kcal","두부조림(05)(06)","84.17kcal","","","3469.04kcal"
"2021-09-16","배추김치(7~9월)","9.25kcal","배추김치(7~9월)","9.25kcal","백김치","15.12kcal","","","3469.04kcal"
"2021-09-16","우유(백색우유(200ML,연간))(02)","122kcal","사과(홍로)","69.8380224kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3469.04kcal"
"2021-09-16","","","","","사과 주스(200㎖/팩)","46kcal","","","3469.04kcal"
"2021-09-17","밥","363kcal","잡곡밥","355.36kcal","밥","363kcal","","","3711.55kcal"
"2021-09-17","햄김치찌개(05)(10)","136.31kcal","쇠고기육개장(05)(16)","80.55kcal","순두부김치찌개(05)(10)","60.32kcal","","","3711.55kcal"
"2021-09-17","돈육호박볶음(05)(06)(09)(10)","188.83kcal","조미김","0kcal","양념치킨(05)(06)(15)","977.72kcal","","","3711.55kcal"
"2021-09-17","미나리무생채(05)(06)(09)","26.97kcal","중화풍삼겹살조림(05)(06)(10)","553.93kcal","깻잎조림(05)(06)","42.25kcal","","","3711.55kcal"
"2021-09-17","배추김치(7~9월)","9.25kcal","양배추쌈(05)(06)","73.5kcal","열무김치","12.8kcal","","","3711.55kcal"
"2021-09-17","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.25kcal","주스,청포도(190ml/팩)","84.51kcal","","","3711.55kcal"
"2021-09-17","","","아이스크림 샌드위치(02)","252kcal","","","","","3711.55kcal"
"2021-09-18","","","라면(즉석 컵)(06)","365kcal","","","","","365.00kcal"
"2021-09-19","밥","363kcal","찰보리밥","360.65kcal","밥","363kcal","","","2413.86kcal"
"2021-09-19","호박된장찌개(05)","69.88kcal","새우짬뽕찌개(05)(09)(17)","54.42kcal","쇠고기호박찌개(05)(06)(09)(16)","73.39kcal","","","2413.86kcal"
"2021-09-19","멸치고추장볶음(06)","111.86kcal","감자풋고추볶음(05)(06)","103.2kcal","닭갈비(05)(06)(15)","186.31kcal","","","2413.86kcal"
"2021-09-19","비엔나소시지야채볶음(05)(06)(10)","292.86kcal","고등어순살조림(05)(06)(07)","148.49kcal","오이양파무침(05)(06)","33.84kcal","","","2413.86kcal"
"2021-09-19","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.25kcal","배추김치(7~9월)","9.25kcal","","","2413.86kcal"
"2021-09-19","우유(백색우유(200ML,연간))(02)","122kcal","주스,청포도(190ml/팩)","84.51kcal","대추방울토마토(비생산기)(12)","12.75kcal","","","2413.86kcal"
"2021-09-20","돈육김치덮밥(10)","556.68kcal","밥","363kcal","잡곡밥","355.36kcal","","","2491.58kcal"
"2021-09-20","쇠고기무국(05)(16)","91.11kcal","닭볶음탕(15)","258.79kcal","두부고추장찌개(05)(06)(16)","104.01kcal","","","2491.58kcal"
"2021-09-20","오징어채간장볶음(01)(05)(06)(17)","91.21kcal","조미김","0kcal","고추잡채(05)(06)(10)","197.84kcal","","","2491.58kcal"
"2021-09-20","배추김치(7~9월)","9.25kcal","양파간장절임(05)(06)","66.15kcal","콩나물무침(05)(06)","32.16kcal","","","2491.58kcal"
"2021-09-20","우유(백색우유(200ML,연간))(02)","122kcal","브로콜리/초고추장(06)","56.13kcal","배추김치(7~9월)","9.25kcal","","","2491.58kcal"
"2021-09-20","","","열무김치","12.8kcal","사과(홍로)","69.8380224kcal","","","2491.58kcal"
"2021-09-20","","","농후 발효유(02)","96kcal","","","","","2491.58kcal"
"2021-09-21","밥2","181.5kcal","밥","363kcal","찰보리비빔밥(05)","450.05kcal","","","2889.08kcal"
"2021-09-21","떡만둣국(01)(05)(06)(10)(16)","485.45kcal","생선묵국(05)(06)","63.13kcal","두부김치국(05)","51.22kcal","","","2889.08kcal"
"2021-09-21","닭감자찜(05)(06)(15)","186.72kcal","돈육야채볶음(05)(06)(10)","346.51kcal","쇠고기볶음고추장(06)(16)","109.48kcal","","","2889.08kcal"
"2021-09-21","배추김치(7~9월)","9.25kcal","오이된장무침(05)","24.81kcal","계란후라이(01)","97.91kcal","","","2889.08kcal"
"2021-09-21","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.25kcal","열무김치","12.8kcal","","","2889.08kcal"
"2021-09-21","","","복숭아 주스(340㎖/캔)","81kcal","사과 주스(200㎖/팩)","46kcal","","","2889.08kcal"
"2021-09-21","","","","","건빵(참깨맛)","249kcal","","","2889.08kcal"
"2021-09-22","밥","363kcal","잡곡밥","355.36kcal","밥","363kcal","","","2630.97kcal"
"2021-09-22","쇠고기미역국(05)(16)","27.93kcal","돼지고기무찌개(05)(06)(10)","99.51kcal","닭곰탕(15)","123.1kcal","","","2630.97kcal"
"2021-09-22","소시지케찹볶음(05)(06)(10)(12)","303.45kcal","쇠고기야채볶음(05)(06)(16)","167.48kcal","떡볶이(05)(06)","347.07kcal","","","2630.97kcal"
"2021-09-22","오징어젓무침(17)","53.4kcal","모듬쌈(05)(06)","37.97kcal","코다리순살조림(05)(06)","92.44kcal","","","2630.97kcal"
"2021-09-22","배추김치(7~9월)","9.25kcal","배추김치(7~9월)","9.25kcal","배추김치(7~9월)","9.25kcal","","","2630.97kcal"
"2021-09-22","우유(백색우유(200ML,연간))(02)","122kcal","주스,청포도(190ml/팩)","84.51kcal","사인머스켓","63kcal","","","2630.97kcal"
"2021-09-23","밥","363kcal","참치마요덮밥(01)(05)(06)","454.32kcal","현미밥","370.26kcal","","","2982.47kcal"
"2021-09-23","순두부국(01)(05)(09)(16)(18)","103.02kcal","햄김치찌개(05)(10)","136.31kcal","얼큰황태채국(01)(05)","38.73kcal","","","2982.47kcal"
"2021-09-23","닭순살피망볶음(05)(06)(15)","263.32kcal","스크램블에그(01)","160.75kcal","데리야끼갈릭치킨(01)(05)(06)(15)","704.22kcal","","","2982.47kcal"
"2021-09-23","콩나물매운무침(05)(06)","39.93kcal","미나리무생채(05)(06)(09)","26.97kcal","조미김","0kcal","","","2982.47kcal"
"2021-09-23","배추김치(7~9월)","9.25kcal","열무김치","12.8kcal","양상추샐러드(01)","77.59kcal","","","2982.47kcal"
"2021-09-23","우유(백색우유(200ML,연간))(02)","122kcal","이온음료","58.8kcal","깍두기(완제품)(09)","15.2kcal","","","2982.47kcal"
"2021-09-23","","","","","망고 주스(180㎖/캔)","26kcal","","","2982.47kcal"
"2021-09-24","밥","363kcal","흑미밥","385.5kcal","카레밥(06)(10)","613.8kcal","","","3259.72kcal"
"2021-09-24","쇠고기탕국(05)(16)","97.44kcal","패주미역국(05)(18)","32.98kcal","돼지고기김치찌개(10)","89.08kcal","","","3259.72kcal"
"2021-09-24","생선묵조림(05)(06)","159.72kcal","돈육표고장조림(05)(06)(10)","277.5kcal","돈가스(06)(10)","711.32kcal","","","3259.72kcal"
"2021-09-24","계란말이(01)(12)","84.73kcal","황태채무침","89.34kcal","열무김치","12.8kcal","","","3259.72kcal"
"2021-09-24","배추김치(7~9월)","9.25kcal","갓김치","11.52kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3259.72kcal"
"2021-09-24","우유(백색우유(200ML,연간))(02)","122kcal","사과 주스(200㎖/팩)","46kcal","포도,신선형(포도(811월))","31.74kcal","","","3259.72kcal"
"2021-09-25","","","라면(즉석 컵)(06)","365kcal","","","","","365.00kcal"
"2021-09-26","꼬꼬떡만둣국(01)(05)(06)(10)(15)","483.84kcal","밀쌀밥","363.55kcal","밥","363kcal","","","2738.23kcal"
"2021-09-26","밥2","181.5kcal","돼지고기육개장(01)(05)(10)","98.73kcal","쇠고기모듬버섯찌개(05)(16)","68.12kcal","","","2738.23kcal"
"2021-09-26","계란찜(01)(09)","87.34kcal","쇠고기불고기(05)(06)(16)","277.88kcal","돈육김치볶음(10)","190.47kcal","","","2738.23kcal"
"2021-09-26","감자매운조림(05)(06)","73.07kcal","모듬쌈(05)(06)","37.97kcal","김자반","43kcal","","","2738.23kcal"
"2021-09-26","열무김치","12.8kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.25kcal","","","2738.23kcal"
"2021-09-26","우유(백색우유(200ML,연간))(02)","122kcal","감귤 주스(180㎖/병)","180kcal","주스,청포도(190ml/팩)","84.51kcal","","","2738.23kcal"
"2021-09-26","사과 주스(200㎖/팩)","46kcal","","","","","","","2738.23kcal"
"2021-09-27","밥","363kcal","잡곡밥","355.36kcal","잡채볶음밥","755.25kcal","","","3409.74kcal"
"2021-09-27","돈육청경채볶음(05)(06)(10)","370.78kcal","돼지갈비김치찌개(05)(10)","293.24kcal","두부맑은국(05)(09)","35.06kcal","","","3409.74kcal"
"2021-09-27","조미김","0kcal","치킨너겟(01)(06)(12)(15)","631.51kcal","계란후라이(01)","97.91kcal","","","3409.74kcal"
"2021-09-27","양배추쌈(05)(06)","73.5kcal","오이풋고추된장무침(05)","44.69kcal","부추겉절이(05)(06)","29.14kcal","","","3409.74kcal"
"2021-09-27","배추김치(7~9월)","9.25kcal","열무김치","12.8kcal","초코우유(02)","126kcal","","","3409.74kcal"
"2021-09-27","우유(백색우유(200ML,연간))(02)","122kcal","복숭아 주스(340㎖/캔)","81kcal","배추김치(7~9월)","9.25kcal","","","3409.74kcal"
"2021-09-28","밥","363kcal","쫄면(05)(06)","714.99kcal","현미밥","370.26kcal","","","3359.25kcal"
"2021-09-28","사골곰탕(05)","163.47kcal","밥3","127.05kcal","짬뽕찌개(굴)(05)(09)(17)","78.05kcal","","","3359.25kcal"
"2021-09-28","마파두부(05)(06)(10)","213.33kcal","햄버거스테이크","0kcal","만두튀김(01)(05)(06)(10)","589.13kcal","","","3359.25kcal"
"2021-09-28","오이양파무침(05)(06)","33.84kcal","단무지무침","11.27kcal","콩나물무침(05)(06)","32.16kcal","","","3359.25kcal"
"2021-09-28","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.25kcal","배추김치(7~9월)","9.25kcal","","","3359.25kcal"
