날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-25","거봉포도","47.61kcal","","","오이양파장아찌(05)(06)","29.8kcal","","","2681.29kcal"
"2021-09-25","레몬에이드","26kcal","","","배추김치(7~9월)","8.5kcal","","","2681.29kcal"
"2021-09-26","밥","363kcal","찹쌀밥","384.54kcal","밥","363kcal","","","2386.84kcal"
"2021-09-26","두부김치국(05)","48.02kcal","건새우아욱된장국(05)(06)","40.5kcal","콩나물두부국(05)","34.29kcal","","","2386.84kcal"
"2021-09-26","꽈리고추멸치볶음(05)(06)","81.96kcal","두부김치(05)(06)(10)","209.51kcal","쇠고기불고기(05)(06)(16)","154.9kcal","","","2386.84kcal"
"2021-09-26","쇠고기감자조림(05)(06)(16)","101.34kcal","콩나물매운무침(05)","42.22kcal","배추겉절이","38.16kcal","","","2386.84kcal"
"2021-09-26","열무김치","12.8kcal","열무김치","12.8kcal","열무김치","12.8kcal","","","2386.84kcal"
"2021-09-26","우유(백색우유(200ML,연간))(02)","122kcal","파인애플에이드 190ml","","라면(즉석 컵)(06)","365kcal","","","2386.84kcal"
"2021-09-27","밥","363kcal","밀쌀밥","363.83kcal","밥","363kcal","","","3203.20kcal"
"2021-09-27","감자짜글이(05)(06)(10)","132.75kcal","사골곰탕","171.4kcal","대파국(05)(16)","51.53kcal","","","3203.20kcal"
"2021-09-27","맛김","0kcal","비빔만두(01)(05)(06)(10)","601.12kcal","양념통닭(06)(15)","632.93kcal","","","3203.20kcal"
"2021-09-27","두부조림(05)(06)","120.43kcal","모듬야채(05)(06)","65.33kcal","양배추샐러드(01)","63.15kcal","","","3203.20kcal"
"2021-09-27","계란말이(01)","60.53kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","8.5kcal","","","3203.20kcal"
"2021-09-27","배추김치(7~9월)","8.5kcal","주스,카프리썬 사과(200ml,파우치)","60kcal","","","","","3203.20kcal"
"2021-09-27","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3203.20kcal"
"2021-09-28","밥","363kcal","마파두부덮밥(05)(06)(10)","678.72kcal","현미밥","384.78kcal","","","3564.01kcal"
"2021-09-28","콩나물국(05)","24.8kcal","닭고기육개장(01)(05)(15)","234.64kcal","배추된장국(05)(06)","37.26kcal","","","3564.01kcal"
"2021-09-28","쇠고기감자조림(05)(06)(16)","101.34kcal","야채튀김(06)(12)","368.82kcal","삼겹살고추장볶음(05)(06)(10)","618.99kcal","","","3564.01kcal"
"2021-09-28","도라지오이무침(06)(17)","56.83kcal","갓김치","11.52kcal","떡볶이(05)(06)","283.71kcal","","","3564.01kcal"
"2021-09-28","열무김치","12.8kcal","","","열무김치","12.8kcal","","","3564.01kcal"
"2021-09-28","우유(백색우유(200ML,연간))(02)","122kcal","","","아이스샌드","252kcal","","","3564.01kcal"
"2021-09-29","밥","363kcal","잡채볶음밥","755.25kcal","찰보리밥","385.12kcal","","","2903.66kcal"
"2021-09-29","돼지고기김치찌개(06)(10)","129.08kcal","가지탕수(06)(12)","318.12kcal","짬뽕찌개(06)(17)(18)","102.92kcal","","","2903.66kcal"
"2021-09-29","새송이버섯야채볶음(05)(06)(16)","154.65kcal","햄버거스테이크","0kcal","묵은지등갈비찜(05)(06)(10)","365.11kcal","","","2903.66kcal"
"2021-09-29","맛김","0kcal","순무김치","15.2kcal","상추겉절이(05)(06)","28.55kcal","","","2903.66kcal"
"2021-09-29","계란찜(01)(09)","91.66kcal","","","배추김치(7~9월)","8.5kcal","","","2903.66kcal"
"2021-09-29","배추김치(7~9월)","8.5kcal","","","","","","","2903.66kcal"
"2021-09-29","유산균 발효 음료(02)","56kcal","","","","","","","2903.66kcal"
"2021-09-29","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2903.66kcal"
"2021-09-30","현미밥","384.78kcal","밥","363kcal","핫도그빵(01)(06)(10)(12)","854.99kcal","","","3165.75kcal"
"2021-09-30","쇠고기육개장(01)(05)(06)(16)","106.57kcal","팽이버섯두부국(05)(06)","41.64kcal","가공우유(바나나)(02)","167kcal","","","3165.75kcal"
"2021-09-30","두부김치(05)(06)(10)","209.51kcal","돈가스(06)(10)","539.8kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3165.75kcal"
"2021-09-30","맛김","0kcal","야채샐러드(01)(12)","95.99kcal","이온음료","58.8kcal","","","3165.75kcal"
"2021-09-30","감자조림(05)(06)","75.97kcal","배추김치(7~9월)","8.5kcal","","","","","3165.75kcal"
"2021-09-30","깍두기(완제품)(09)","15.2kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3165.75kcal"
"(예시데이터_업로드시삭제)YYYYMM","(예시데이터_업로드시삭제)TEXT","","(예시데이터_업로드시삭제)TEXT","","(예시데이터_업로드시삭제)TEXT","","","",""
"20200401","밥","363","밥","363","현미밥","388.41","우유(백색우유(200ML,연간)) (2)","122",""
"","조개살미역국 (5)","20.28","감자양파찌개 (5)(6)(16)","89.9","쇠고기호박찌개 (6)(16)","61.2","사과(후지, 상품)","53.29",""
"","새송이버섯야채볶음 (5)(6)(16)","90.67","돼지불고기 (5)(6)(10)","515.77","굴튀김 (5)(6)","324.83","오렌지 주스(180㎖/캔)","84",""
"","콩나물매운무침 (5)","41.56","배추된장무침 (5)(6)","23.76","계란찜 (1)(9)","83.25","건빵(개선품) (1)(2)(3)","249",""
"","배추김치(3~4월)","9.75","깍두기(임가공)","32.34","배추김치(3~4월)","9.75","","",""
"","","525.26","","1,024.77","","867.44","","508.29","2,925.76"
"20200402","밥","363","밥","363","잡곡밥","363.64","우유(백색우유(200ML,연간)) (2)","122",""
"","시금치된장국 (5)(6)","44.02","두부고추장찌개 (5)(6)(16)","93.78","쇠고기미역국 (5)(16)","40.39","딸기,신선형(딸기(34월))","32.4",""
"","햄게맛살볶음 (5)(6)(10)","147.88","닭강정 (1)(6)(15)","713.78","고추잡채 (5)(6)(10)","376.52","","",""
"","감자조림 (5)(6)","84.16","무나물","47.65","고등어김치조림 (5)(6)(7)","180.11","","",""
"","배추김치(3~4월)","9.75","배추김치(3~4월)","9.75","배추김치(3~4월)","9.75","","",""
"","","648.81","","1,227.96","","970.41","","154.4","3,001.58"
"20200403","밥","363","현미밥","388.41","밥","363","우유(백색우유(200ML,연간)) (2)","122",""
"","어묵김치국 (5)(6)","75.45","버섯된장찌개 (5)(6)","56.36","쇠고기무국 (5)(16)","41.33","","",""
"","돼지고기콩나물볶음 (5)(6)(10)","340.23","한우불고기 (5)(6)(16)","127.43","생선가스 (1)(6)","572.33","","",""
"","순두부양념장 (5)(6)","81.17","도라지오이무침 (6)(17)","70.18","두부양념장 (5)(6)","98.04","","",""
"","파김치","23.6","배추김치(3~4월)","9.75","배추김치(3~4월)","9.75","","",""
"","","883.45","","652.13","","1,084.45","","122","2,742.03"
"20200404","불고기버거 (1)(2)(6)(10)(12)","986.52","잡곡밥","363.64","밥","363","우유(백색우유(200ML,연간)) (2)","122",""
"","","","순두부찌개 (1)(5)(6)(10)","187.98","감자된장국 (5)(6)","69.72","가공우유(초코) (2)","126",""
"","","","궁중떡볶이 (5)(6)(16)","241.94","새송이버섯야채볶음 (5)(6)(16)","90.67","","",""
"","","","오징어볶음 (17)","129.37","김자반","43","","",""
"","","","깍두기(임가공)","32.34","배추김치(3~4월)","9.75","","",""
"","","986.52","","955.27","","576.14","","248","2,765.93"
"20200405","밥","363","잡채밥 (5)(6)(10)","630.95","찰보리밥","385.12","우유(백색우유(200ML,연간)) (2)","122",""
"","콩나물국 (5)","24.83","조개국 (1)","93.11","호박된장찌개 (5)(6)","51.7","배 주스(238㎖/캔)","116",""
"","쇠고기감자조림 (5)(6)(16)","97.41","쭈꾸미볶음 (5)(6)","129.92","돼지불고기 (5)(6)(10)","515.77","","",""
"","시금치무침 (5)(6)","30.15","배추김치(3~4월)","9.75","양배추쌈 (5)(6)","76.88","","",""
"","배추김치(3~4월)","9.75","","","깍두기(임가공)","32.34","","",""
"","","525.14","","863.73","","1,061.81","","238","2,688.68"
"20200406","떡만두국 (1)(5)(6)(10)(16)","593.11","낙지덮밥 (5)(6)","516.44","밥","363","우유(백색우유(200ML,연간)) (2)","122",""
"","애호박나물 (9)","53.23","꽈리고추멸치볶음 (5)(6)","120.7","시금치된장국 (5)(6)","44.02","","",""
"","콩나물무침 (5)","36","연근튀김 (1)(5)(6)","346.92","비엔나소시지케찹볶음 (6)(10)(12)","332.61","","",""
"","배추김치(3~4월)","9.75","배추김치(3~4월)","9.75","계란장조림 (1)(5)(6)","168.7","","",""
"","","","","","배추김치(3~4월)","9.75","","",""
"","","692.09","","993.81","","918.08","","122","2,725.98"
