날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"","","","바나나우유(02)","187.88","탄산음료","117.5","","",""
"","","","배추김치(10~11월)","13.75","","","","",""
"","","","라면(즉석 컵)(06)","365","","","","",""
"","","","우유(백색우유(200ML,연간))(02)","122","","","","",""
"20201025","찐고구마","109.65","잡곡밥","440.72","흑미밥","410.55","2911.96","",""
"","소떡소떡(05)(06)(10)","645.28","매콤닭순살덮밥(05)(06)(15)","274.66","돼지고기감자찌개(05)(06)(10)","120.35","","",""
"","구운계란(01)","70.08","조미김(8절형)","5.25","오징어숙회/초고추장(06)(17)","126.66","","",""
"","혼합시리얼","121.32","배추김치(10~11월)","13.75","마파두부(05)(06)(10)","282.19","","",""
"","배추김치(10~11월)","13.75","사과 주스(200㎖/팩)","46","배추김치(10~11월)","13.75","","",""
"","요구르트,떠먹는형(02)","96","","","","","","",""
"","우유(백색우유(200ML,연간))(02)","122","","","","","","",""
"20201026","밥","399.3","밀쌀밥","399.85","현미밥","413.82","2875.40","",""
"","계란국(01)(05)","43.41","무청시래기국(05)(06)","44.57","북어미역국(05)","32.86","","",""
"","단무지무침(05)(06)","36.77","채소스틱(모듬 선택)","48.1","연두부(05)","64.8","","",""
"","즉석자장소스(05)(06)(10)","415.8","돼지고기가지볶음(05)(06)(10)","422.64","브로콜리게맛살튀김(06)(12)","350.23","","",""
"","배추김치(10~11월)","13.75","배추김치(10~11월)","13.75","배추김치(10~11월)","13.75","","",""
"","우유(백색우유(200ML,연간))(02)","122","배 주스(238㎖/캔)","40","","","","",""
"20201027","불고기버거(06)(10)","591.99","밀쌀밥","399.85","밥","399.3","3223.29","",""
"","토마토슬라이스(12)","7.13","청국장(05)(10)","114.53","순두부백탕(01)(05)(18)","93.14","","",""
"","혼합시리얼","121.32","순살닭고기고구마조림(05)(06)(15)","306.59","콩나물무침(05)(06)","59.02","","",""
"","딸기쨈","63.5","골뱅이고추장볶음(05)(06)","220.05","광어튀김(05)(06)","391.87","","",""
"","양배추샐러드(01)(12)","160.55","배추김치(10~11월)","13.75","배추김치(10~11월)","13.75","","",""
"","우유(백색우유(200ML,연간))(02)","122","사과(후지, 상품)","63.945","","","","",""
"","","","복숭아 주스(340㎖/캔)","81","","","","",""
"20201028","밥","399.3","스파게티(06)(12)","792.58","찰보리밥","392.21","3315.26","",""
"","아귀탕(05)(06)","90.87","치킨너겟강정(06)(12)(15)","581.19","조갯살미역국(05)(18)","36.57","","",""
"","무나물","60.08","계란장조림(01)(05)(06)(10)","140.24","양파피클(05)(06)","43.1","","",""
"","황태찜","201.51","배추김치(10~11월)","13.75","매운돼지갈비고구마조림(05)(06)(10)","350.19","","",""
"","배추김치(10~11월)","13.75","단감(상품)","64.1733","배추김치(10~11월)","13.75","","",""
