날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-10-12","잡곡밥","387.79kcal","삼겹살덮밥(10)","175.6kcal","잡곡밥","387.79kcal","","","2846.37kcal"
"2021-10-12","쇠고기무국(05)(16)","57.43kcal","무두부조개탕(05)(18)","58.05kcal","해물짬뽕찌개(05)(06)(09)(17)","124.77kcal","","","2846.37kcal"
"2021-10-12","돈육굴소스양배추볶음(10)","268.99kcal","계란후라이(완제품)","88.2kcal","궁중떡볶이(05)(06)(16)","374.08kcal","","","2846.37kcal"
"2021-10-12","멸치고추장볶음(05)(06)","132.73kcal","배추김치","25.8kcal","탕수육(05)(06)(10)(12)","591.54kcal","","","2846.37kcal"
"2021-10-12","배추김치","25.8kcal","우유(백색우유(200ML,연간))(02)","122kcal","배추김치","25.8kcal","","","2846.37kcal"
"2021-10-13","찹쌀밥","373.41kcal","잡곡밥","387.79kcal","밥1","363kcal","","","2684.86kcal"
"2021-10-13","황태채콩나물국(05)","24.46kcal","감자국(05)","34.59kcal","열무된장국(05)(06)","55.14kcal","","","2684.86kcal"
"2021-10-13","돼지불고기(05)(06)(10)","356.21kcal","삼치순살튀김(06)","365.26kcal","돼지고기깻잎볶음(05)(06)(10)","192.56kcal","","","2684.86kcal"
"2021-10-13","오이양파장아찌(05)(06)","20.88kcal","소불고기(05)(06)(16)","158.37kcal","두부양념장(05)(06)","61.15kcal","","","2684.86kcal"
"2021-10-13","배추김치","25.8kcal","배추김치","25.8kcal","파김치","21.24kcal","","","2684.86kcal"
"2021-10-13","","","음료수,쌀맛(쌀음료)","97.2kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","2684.86kcal"
"2021-10-14","밥1","363kcal","불닭덮밥(05)(06)(15)","479.98kcal","잡곡밥","387.79kcal","","","2757.66kcal"
"2021-10-14","패주콩나물국(05)(06)(09)","80.52kcal","계란국(01)(05)","73.14kcal","닭고기미역국(05)(15)","74.43kcal","","","2757.66kcal"
"2021-10-14","피망멸치볶음(05)(06)","52.88kcal","야채튀김(05)(06)(12)","307.97kcal","생선묵볶음(05)(06)","110.46kcal","","","2757.66kcal"
"2021-10-14","돼지고기감자조림(05)(06)(10)","359.6kcal","배추김치","25.8kcal","삼겹살김치찜(10)","273.05kcal","","","2757.66kcal"
"2021-10-14","배추김치","25.8kcal","","","파김치","21.24kcal","","","2757.66kcal"
"2021-10-14","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2757.66kcal"
"2021-10-15","잡곡밥","387.79kcal","밥1","363kcal","잡곡밥","387.79kcal","","","2756.00kcal"
"2021-10-15","감자양파찌개(05)(06)","82.18kcal","버섯된장찌개(05)(06)(16)","104.41kcal","쇠고기육개장(01)(05)(06)(16)","108.45kcal","","","2756.00kcal"
"2021-10-15","비엔나소시지야채볶음(05)(06)(10)(12)","306.61kcal","돈육표고장조림(05)(06)(10)","263.98kcal","콩나물볶음(05)","53.92kcal","","","2756.00kcal"
"2021-10-15","고등어감자조림(05)(06)(07)","186.25kcal","깻잎조림(05)(06)","43.57kcal","닭간장소스찜(05)(06)(15)","253kcal","","","2756.00kcal"
"2021-10-15","배추김치","25.8kcal","토마토상추겉절이(05)(06)(12)","38.6kcal","깍두기(임가공)","28.65kcal","","","2756.00kcal"
"2021-10-15","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","2756.00kcal"
"2021-10-16","불고기샐러드(05)(06)","111.86kcal","밥1","363kcal","닭고기덮밥(05)(06)(15)","580.55kcal","","","2944.11kcal"
"2021-10-16","핫도그(01)(06)(10)(12)","926.07kcal","열무된장국(05)(06)","55.14kcal","쇠고기미역국(05)(16)","42.44kcal","","","2944.11kcal"
"2021-10-16","양배추샐러드(01)","54.81kcal","콩나물돼지불고기(05)(06)(10)","305.91kcal","오이양파장아찌(05)(06)","20.88kcal","","","2944.11kcal"
"2021-10-16","우유(백색우유(200ML,연간))(02)","244kcal","배추김치","25.8kcal","깍두기(임가공)","28.65kcal","","","2944.11kcal"
"2021-10-16","콜라","117.5kcal","","","","","","","2944.11kcal"
"2021-10-16","사인머스켓","67.5kcal","","","","","","","2944.11kcal"
"2021-10-17","떡국(01)(05)(06)(10)","511.34kcal","밥1","363kcal","밥1","363kcal","","","3205.81kcal"
"2021-10-17","밥1","363kcal","콩나물무채국(05)","23.86kcal","계란국(01)(05)","73.14kcal","","","3205.81kcal"
"2021-10-17","버섯야채볶음(05)(06)","50.15kcal","오삼불고기(05)(06)(10)(17)","375.5kcal","마파두부(05)(06)(10)","163.29kcal","","","3205.81kcal"
"2021-10-17","한우불고기(05)(06)(16)","276.81kcal","감자채볶음(10)","97.55kcal","닭고기단호박조림(05)(06)(15)","345.77kcal","","","3205.81kcal"
"2021-10-17","배추김치","25.8kcal","배추김치","25.8kcal","배추김치","25.8kcal","","","3205.81kcal"
"2021-10-17","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3205.81kcal"
"2021-10-18","밥1","363kcal","밥1","363kcal","밥1","363kcal","","","3199.93kcal"
"2021-10-18","황태채국(01)","86.15kcal","감자짜글이(05)(06)(10)","140.79kcal","패주콩나물국(05)(06)(09)","80.52kcal","","","3199.93kcal"
"2021-10-18","제육볶음(05)(06)(10)","377.83kcal","매운어묵볶음(05)(06)","146.48kcal","오징어볶음(05)(06)(17)","141.43kcal","","","3199.93kcal"
"2021-10-18","콩나물무침(05)","30.3kcal","닭고기김치찜(05)(06)(15)","274.92kcal","생선가스(01)(06)","633.11kcal","","","3199.93kcal"
"2021-10-18","배추김치","25.8kcal","배추김치","25.8kcal","배추김치","25.8kcal","","","3199.93kcal"
"2021-10-18","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3199.93kcal"
"2021-10-19","간장계란밥(01)(05)(06)(15)","644.49kcal","두부돼지고기덮밥(05)(06)(10)","829.13kcal","자장밥(05)(06)(10)","861.58kcal","","","3558.38kcal"
"2021-10-19","감자짜글이(05)(06)(10)","140.79kcal","삼치순살튀김(06)","365.26kcal","해물짬뽕찌개(05)(06)(09)(17)","124.77kcal","","","3558.38kcal"
