날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-17","배추김치(7~9월)","9.75kcal","우유,살균형(바나나)","154kcal","무초절이","34.67kcal","","","3064.41kcal"
"2021-09-17","우유(백색우유(200ML,연간))(02)","122kcal","","","배추김치(7~9월)","9.75kcal","","","3064.41kcal"
"2021-09-17","라면(즉석 컵)(06)","365kcal","","","","","","","3064.41kcal"
"2021-09-18","핫도그빵(01)(06)(10)(12)","883.11kcal","밥","381.15kcal","후리카케밥","367.57kcal","","","3172.80kcal"
"2021-09-18","우유(백색우유(200ML,연간))(02)","122kcal","돼지고기수육(05)(09)(10)","641.95kcal","돈가스(06)(10)","451.63kcal","","","3172.80kcal"
"2021-09-18","","","콩나물매운무침(05)","38.12kcal","야채샐러드(01)(05)(06)(12)","46.59kcal","","","3172.80kcal"
"2021-09-18","","","상추쌈(05)(06)","51.57kcal","배추김치(7~9월)","9.75kcal","","","3172.80kcal"
"2021-09-18","","","배추김치(7~9월)","9.75kcal","거봉포도","47.61kcal","","","3172.80kcal"
"2021-09-18","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3172.80kcal"
"2021-09-19","밥1","363kcal","잡곡밥","366.81kcal","돼지고기부추덮밥(05)(06)(10)","973.72kcal","","","3204.23kcal"
"2021-09-19","쇠고기미역국(05)(16)","35.08kcal","김치찌개(05)(06)(10)","129.74kcal","콩나물김치국(05)","18.65kcal","","","3204.23kcal"
"2021-09-19","비엔나소시지야채볶음(05)(06)(10)","326.76kcal","쇠고기불고기(05)(06)(16)","163.72kcal","두부조림(05)(06)","189.23kcal","","","3204.23kcal"
"2021-09-19","김자반","21.5kcal","계란찜(01)","101.59kcal","열무김치","12.16kcal","","","3204.23kcal"
"2021-09-19","배추김치(7~9월)","9.75kcal","야채스틱앤저염쌈장(05)(06)","68.52kcal","감귤 주스(180㎖/병)","180kcal","","","3204.23kcal"
"2021-09-19","우유(백색우유(200ML,연간))(02)","122kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3204.23kcal"
"2021-09-20","밥1","363kcal","흑미밥","379.88kcal","검은콩밥","361.61kcal","","","2955.45kcal"
"2021-09-20","쇠고기당면국(05)(16)","47.27kcal","감자탕(김치)(05)(06)(10)","380.69kcal","새송이버섯야채볶음(05)(06)(10)","234.81kcal","","","2955.45kcal"
"2021-09-20","돼지고기김치볶음(06)(10)","225.19kcal","게맛살마요무침","59kcal","궁중닭찜(05)(06)(15)","270.29kcal","","","2955.45kcal"
"2021-09-20","맛김","0kcal","콩나물매운무침(05)","38.12kcal","연두부양념장(05)(06)","83.72kcal","","","2955.45kcal"
"2021-09-20","감자조림(05)(06)","129.96kcal","열무김치","12.16kcal","배추김치(7~9월)","9.75kcal","","","2955.45kcal"
"2021-09-20","감귤 주스(180㎖/병)","180kcal","감귤 주스(180㎖/병)","180kcal","","","","","2955.45kcal"
"2021-09-21","떡만둣국(01)(05)(06)(10)","535.12kcal","잡곡밥","366.81kcal","잡곡밥","366.81kcal","","","3400.68kcal"
"2021-09-21","오징어젓무침(17)","35.05kcal","잡채(05)(06)(16)","159.07kcal","김치찌개(05)(06)(10)","129.74kcal","","","3400.68kcal"
"2021-09-21","배추김치(7~9월)","9.75kcal","조기튀김(06)","248.96kcal","청양마요치킨(01)(06)(15)","455.88kcal","","","3400.68kcal"
"2021-09-21","우유(백색우유(200ML,연간))(02)","122kcal","소양념갈비","730kcal","무초절이","34.67kcal","","","3400.68kcal"
"2021-09-21","","","백김치","15.12kcal","야채샐러드(01)(05)(06)(12)","46.59kcal","","","3400.68kcal"
"2021-09-21","","","포도,신선형(포도(811월))","47.61kcal","사이다","97.5kcal","","","3400.68kcal"
"2021-09-22","간장계란밥(01)(05)(06)","486.65kcal","밥","381.15kcal","잡곡밥","366.81kcal","","","3214.84kcal"
"2021-09-22","쇠고기감자국(05)(16)","43.34kcal","돼지불고기(05)(06)(10)","497.92kcal","생선묵국(05)(06)","67.04kcal","","","3214.84kcal"
"2021-09-22","마요오징어실채무침(01)(05)(06)(17)","90.2kcal","계란찜(01)","101.59kcal","떡볶이(05)(06)","275.55kcal","","","3214.84kcal"
"2021-09-22","열무김치","12.16kcal","야채스틱앤저염쌈장(05)(06)","68.52kcal","고구마튀김(06)","410kcal","","","3214.84kcal"
"2021-09-22","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.75kcal","열무김치","12.16kcal","","","3214.84kcal"
"2021-09-22","","","아이스크림 콘,완제품(02)","270kcal","","","","","3214.84kcal"
"2021-09-23","밥1","363kcal","닭고기부추밥(06)(15)","672.67kcal","열무비빔밥(05)(06)","463.02kcal","","","2974.13kcal"
"2021-09-23","닭곰탕(15)","128.82kcal","배추된장국(05)(16)","44.64kcal","호박된장찌개(05)(06)(16)","79.31kcal","","","2974.13kcal"
"2021-09-23","쇠고기팽이버섯떡볶음(05)(06)(16)","145.54kcal","만두튀김(01)(05)(06)(10)","428.77kcal","낙지볶음(05)(06)","151.54kcal","","","2974.13kcal"
"2021-09-23","콩나물매운무침(05)","38.12kcal","맛김","0kcal","배추김치(7~9월)","9.75kcal","","","2974.13kcal"
"2021-09-23","배추김치(7~9월)","9.75kcal","깍두기(완제품)(09)","15.2kcal","감귤 주스(180㎖/병)","180kcal","","","2974.13kcal"
"2021-09-23","우유(백색우유(200ML,연간))(02)","122kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","2974.13kcal"
"2021-09-24","밥1","363kcal","잡곡밥","366.81kcal","잡곡밥","366.81kcal","","","2897.55kcal"
"2021-09-24","쇠고기미역국(05)(16)","35.08kcal","사골곰탕(05)(09)","95.64kcal","김치찌개(기타)(05)(06)(10)","105.51kcal","","","2897.55kcal"
"2021-09-24","돼지고기김치볶음(06)(10)","225.19kcal","오징어볶음(05)(06)(17)","229.99kcal","닭강정(05)(06)(12)(15)","461.3kcal","","","2897.55kcal"
"2021-09-24","맛김","0kcal","두부조림(05)(06)","189.23kcal","야채샐러드(01)(05)(06)(12)","46.59kcal","","","2897.55kcal"
"2021-09-24","계란찜(01)","101.59kcal","깍두기(완제품)(09)","15.2kcal","거봉포도","47.61kcal","","","2897.55kcal"
"2021-09-24","과일2(02)","126kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","2897.55kcal"
"2021-09-25","쇠고기덮밥(01)(05)(06)(16)","748.01kcal","짬뽕찌개(09)(17)","71.2kcal","잡곡밥","366.81kcal","","","2998.13kcal"
"2021-09-25","쇠고기미역국(05)(16)","35.08kcal","새우튀김(01)(09)","255.43kcal","제육볶음(05)(06)(10)","518.76kcal","","","2998.13kcal"
"2021-09-25","계란말이(01)","60.53kcal","파채돈가스(05)(06)(10)","475.2kcal","콩나물매운무침(05)","38.12kcal","","","2998.13kcal"
"2021-09-25","배추김치(7~9월)","9.75kcal","멕시칸샐러드(01)(10)","162.57kcal","야채스틱앤저염쌈장(05)(06)","68.52kcal","","","2998.13kcal"
"2021-09-25","바나나","76.8kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.75kcal","","","2998.13kcal"
"2021-09-25","","","음료수, 탄산, 과일","86.4kcal","","","","","2998.13kcal"
"2021-09-26","잡채볶음밥","703.44kcal","밥","381.15kcal","밥","381.15kcal","","","3121.40kcal"
"2021-09-26","콩나물김치국(05)","18.65kcal","떡볶이(05)(06)","275.55kcal","햄소시지찌개(01)(05)(06)(10)","245.45kcal","","","3121.40kcal"
"2021-09-26","맛김","0kcal","김자반","21.5kcal","베이컨청경채볶음(10)","184.26kcal","","","3121.40kcal"
"2021-09-26","계란후라이(01)","97.91kcal","뿌리채소닭순살조림(05)(06)(15)","236.72kcal","감자조림(05)(06)","129.96kcal","","","3121.40kcal"
"2021-09-26","배추김치(7~9월)","9.75kcal","배추김치(7~9월)","9.75kcal","열무김치","12.16kcal","","","3121.40kcal"
"2021-09-26","","","아이스크림 팩형(02)","234kcal","감귤 주스(180㎖/병)","180kcal","","","3121.40kcal"
"2021-09-27","후리카케밥","367.57kcal","전투식량 1형1식단","1300kcal","검은콩밥","361.61kcal","","","3509.85kcal"
"2021-09-27","쇠고기감자국(05)(16)","43.34kcal","가스오부시어묵탕(05)(06)","62.74kcal","쇠고기육개장(01)(05)(06)(16)","65.19kcal","","","3509.85kcal"
"2021-09-27","돼지고기콩나물볶음(05)(06)(10)","327.3kcal","계란후라이(01)","97.91kcal","오징어튀김(01)","303.53kcal","","","3509.85kcal"
"2021-09-27","배추김치(7~9월)","9.75kcal","갓김치","11.52kcal","두부조림(05)(06)","189.23kcal","","","3509.85kcal"
"2021-09-27","우유(백색우유(200ML,연간))(02)","122kcal","유산균 발효 음료(02)","56kcal","열무김치","12.16kcal","","","3509.85kcal"
"2021-09-27","","","","","감귤 주스(180㎖/병)","180kcal","","","3509.85kcal"
"2021-09-28","밥1","363kcal","자장면(01)(05)(06)(10)","873.28kcal","달걀케첩볶음밥(01)(12)","524.35kcal","","","3361.70kcal"
"2021-09-28","조갯살미역국(05)(18)","31.52kcal","탕수육(완제품용)(05)(06)(10)(12)","316.64kcal","데리야끼갈릭치킨(05)(06)(15)","462.77kcal","","","3361.70kcal"
"2021-09-28","감자채볶음(16)","97.71kcal","단무지무침","11.16kcal","야채샐러드(01)(05)(06)(12)","46.59kcal","","","3361.70kcal"
"2021-09-28","비엔나소시지케찹볶음(10)(12)","318.32kcal","배추김치(7~9월)","9.75kcal","배추김치(7~9월)","9.75kcal","","","3361.70kcal"
"2021-09-28","배추김치(7~9월)","9.75kcal","거봉포도","47.61kcal","음료수,탄산,콜라","117.5kcal","","","3361.70kcal"
"2021-09-28","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3361.70kcal"
"2021-09-29","떡만둣국(01)(05)(06)(10)","535.12kcal","잡곡밥","366.81kcal","밥","381.15kcal","","","2935.55kcal"
"2021-09-29","오징어채무침(06)(17)","83.28kcal","감자짜글이(05)(06)(10)","116.7kcal","짬뽕찌개(09)(17)","71.2kcal","","","2935.55kcal"
"2021-09-29","임시(02)","116kcal","삼겹살구이(05)(06)(10)","584.68kcal","소시지야채볶음(10)","219.08kcal","","","2935.55kcal"
"2021-09-29","배추김치(7~9월)","9.75kcal","미나리콩나물무침(05)","31.76kcal","베이컨청경채볶음(10)","184.26kcal","","","2935.55kcal"
"2021-09-29","","","깍두기(완제품)(09)","15.2kcal","열무김치","12.16kcal","","","2935.55kcal"
"2021-09-29","","","음료수, 탄산, 과일","86.4kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","2935.55kcal"
"2021-09-30","밥1","363kcal","잡곡밥","366.81kcal","핫도그빵(01)(06)(10)(12)","883.11kcal","","","2879.82kcal"
"2021-09-30","사골곰탕(05)(09)","95.64kcal","김치찌개(05)(06)(10)","129.74kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","2879.82kcal"
"2021-09-30","두부케첩조림(05)(06)","126.68kcal","잡채(05)(06)(16)","159.07kcal","","","","","2879.82kcal"
"2021-09-30","오징어젓무침(17)","35.05kcal","햄버그스테이크","0kcal","","","","","2879.82kcal"
"2021-09-30","깍두기(완제품)(09)","15.2kcal","갓김치","11.52kcal","","","","","2879.82kcal"
"2021-09-30","감귤 주스(180㎖/병)","180kcal","아이스크림, 떠먹는형","270kcal","","","","","2879.82kcal"
"2021-09-30","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2879.82kcal"
"2021-09-02","우유(백색우유(200ML,연간))(02)","122kcal","백김치","15.12kcal","열무김치","12.16kcal","","","2823.74kcal"
"2021-09-02","코코아 음료 분말(간호사관학교)","412kcal","방울토마토(비생산기)(12)","17.82kcal","","","","","2823.74kcal"
"2021-09-03","간장계란밥(01)(05)(06)","486.65kcal","흑미밥","379.88kcal","밥","381.15kcal","","","2881.22kcal"
"2021-09-03","감자수제비국(01)(05)(06)","66.68kcal","베이컨청경채볶음(10)","184.26kcal","콩나물국(05)(09)","13.98kcal","","","2881.22kcal"
"2021-09-03","쇠고기버섯볶음(05)(06)(16)","146.38kcal","야채튀김(06)","261.51kcal","돼지고기부추볶음(05)(06)(10)","269.93kcal","","","2881.22kcal"
"2021-09-03","열무김치","12.16kcal","닭고기김치찜(06)(15)","258.1kcal","오징어볶음(05)(06)(17)","229.99kcal","","","2881.22kcal"
"2021-09-03","우유(백색우유(200ML,연간))(02)","122kcal","이온음료","58.8kcal","배추김치(7~9월)","9.75kcal","","","2881.22kcal"
"2021-09-04","햄치즈버거(01)(02)(06)(10)(12)","1174.8kcal","볶음밥(05)(06)(16)","512.46kcal","밥","381.15kcal","","","3100.90kcal"
"2021-09-04","우유(백색우유(200ML,연간))(02)","122kcal","짬뽕찌개(09)(17)","71.2kcal","팽이버섯두부국(01)(05)","54.32kcal","","","3100.90kcal"
"2021-09-04","커피음료","","스크램블에그(01)(05)(06)(12)","120.42kcal","닭갈비(05)(06)(15)","310.76kcal","","","3100.90kcal"
"2021-09-04","","","배추김치(7~9월)","9.75kcal","까르보나라떡볶이(10)","284.27kcal","","","3100.90kcal"
"2021-09-04","","","","","열무김치","12.16kcal","","","3100.90kcal"
"2021-09-04","","","","","포도,신선형(포도(811월))","47.61kcal","","","3100.90kcal"
"2021-09-05","햄야채볶음밥(10)(12)","563.78kcal","밥","381.15kcal","밥","381.15kcal","","","3047.09kcal"
"2021-09-05","계란후라이(01)","97.91kcal","닭볶음탕(06)(15)","289.39kcal","배추된장국(05)(16)","44.64kcal","","","3047.09kcal"
"2021-09-05","매쉬포테이토","57.66kcal","돈육굴소스양배추볶음(10)","164.07kcal","잡채(05)(06)(16)","159.07kcal","","","3047.09kcal"
"2021-09-05","깍두기(완제품)(09)","15.2kcal","두부양념장(05)(06)","104.13kcal","돼지고기김치볶음(06)(10)","225.19kcal","","","3047.09kcal"
"2021-09-05","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.75kcal","감귤 주스(180㎖/병)","180kcal","","","3047.09kcal"
"2021-09-05","","","아이스크림 샌드위치(02)","252kcal","","","","","3047.09kcal"
"2021-09-06","밥1","363kcal","검은콩밥","361.61kcal","흑미밥","379.88kcal","","","3142.80kcal"
"2021-09-06","생선묵국(05)(06)","67.04kcal","짬뽕찌개(09)(17)","71.2kcal","닭고기육개장(01)(05)(15)","169.67kcal","","","3142.80kcal"
"2021-09-06","비엔나소시지케찹볶음(10)(12)","318.32kcal","북경식탕수육 (05)(06)(10)","562.72kcal","쇠고기버섯볶음(05)(06)(16)","146.38kcal","","","3142.80kcal"
"2021-09-06","오징어채무침(06)(17)","83.28kcal","단무지무침","11.16kcal","마파두부(05)(06)","259.84kcal","","","3142.80kcal"
"2021-09-06","배추김치(7~9월)","9.75kcal","배추김치(7~9월)","9.75kcal","깍두기(완제품)(09)","15.2kcal","","","3142.80kcal"
"2021-09-06","농후 발효유(02)","192kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3142.80kcal"
"2021-09-07","밥1","363kcal","잡곡밥","366.81kcal","새우버거(01)(06)(09)(12)","745.53kcal","","","3063.55kcal"
"2021-09-07","쇠고기당면국(05)(16)","47.27kcal","호박된장찌개(05)(06)(16)","79.31kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3063.55kcal"
"2021-09-07","새송이버섯야채볶음(05)(06)(10)","234.81kcal","오리불고기(05)(06)","306.57kcal","사이다","97.5kcal","","","3063.55kcal"
