날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-03","밥","363kcal","흑미밥","374.25kcal","현미밥","383.51kcal","","","2839.39kcal"
"2021-09-03","중화식계란탕(01)(05)","54.98kcal","버섯쇠고기찌개(05)(16)","58.19kcal","닭곰탕(15)","164.11kcal","","","2839.39kcal"
"2021-09-03","돼지고기청경채볶음(05)(06)(10)","300kcal","마파두부(05)(06)","228.81kcal","멸치볶음(01)(05)(06)","71.32kcal","","","2839.39kcal"
"2021-09-03","맛김","0kcal","오징어채볶음(01)(05)(06)(17)","79.81kcal","돼지고기김치찜(05)(06)(10)","270.33kcal","","","2839.39kcal"
"2021-09-03","감자조림(05)(06)","87.24kcal","배추김치(7~9월)","9kcal","열무김치","11.84kcal","","","2839.39kcal"
"2021-09-03","배추김치(7~9월)","9kcal","아이스샌드","252kcal","","","","","2839.39kcal"
"2021-09-03","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2839.39kcal"
"2021-09-04","핫도그빵(01)(06)(10)(12)","914.88kcal","잡곡밥","359.79kcal","김치덮밥(05)(06)(10)","573.36kcal","","","2834.02kcal"
"2021-09-04","삶은계란(01)","70.18kcal","바싹불고기/파채(05)(06)(16)","313.84kcal","감자조림(05)(06)","87.24kcal","","","2834.02kcal"
"2021-09-04","두유(05)","140kcal","상추오이무침(05)(06)","19.72kcal","계란후라이(01)","130.96kcal","","","2834.02kcal"
"2021-09-04","우유(백색우유(200ML,연간))(02)","122kcal","마카로니샐러드(01)","38kcal","무생채(05)(06)","26.33kcal","","","2834.02kcal"
"2021-09-04","","","배추김치(7~9월)","9kcal","백김치","15.12kcal","","","2834.02kcal"
"2021-09-04","","","대추방울토마토(비생산기)(12)","13.6kcal","","","","","2834.02kcal"
"2021-09-05","쇠고기버섯죽(05)(06)","403.31kcal","흑미밥","374.25kcal","현미밥","383.51kcal","","","2923.44kcal"
"2021-09-05","연두부양념장(05)(06)","83.93kcal","호박고추장찌개(05)(06)(09)(10)","135.62kcal","꼬리곰탕","554.06kcal","","","2923.44kcal"
"2021-09-05","오징어젓무침(17)","44.16kcal","닭갈비(05)(06)(15)","299.88kcal","돼지고기꽈리고추볶음(05)(06)(10)","193.53kcal","","","2923.44kcal"
"2021-09-05","배추김치(7~9월)","9kcal","모듬야채(쌈장)(05)(06)","84.74kcal","오이무침(06)","34.61kcal","","","2923.44kcal"
"2021-09-05","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9kcal","열무김치","11.84kcal","","","2923.44kcal"
"2021-09-05","","","아이스크림, 떠먹는형","180kcal","","","","","2923.44kcal"
"2021-09-06","밥","363kcal","잡곡밥","359.79kcal","밥","363kcal","","","2840.97kcal"
"2021-09-06","배추두부국(05)","55.59kcal","쇠고기감자국(05)(16)","44.46kcal","짬뽕찌개(05)(09)(10)(17)","103.98kcal","","","2840.97kcal"
"2021-09-06","돼지고기콩나물볶음(05)(06)(10)","361.92kcal","데리야끼갈릭치킨(05)(06)(15)","653.83kcal","새송이버섯야채볶음(05)(06)","83.41kcal","","","2840.97kcal"
"2021-09-06","계란찜(01)(09)","73.24kcal","비빔당면(05)(06)","98.68kcal","호박쇠고기볶음(05)(06)(16)","85.15kcal","","","2840.97kcal"
"2021-09-06","열무김치","11.84kcal","배추김치(7~9월)","9kcal","맛김","0kcal","","","2840.97kcal"
"2021-09-06","우유(백색우유(200ML,연간))(02)","122kcal","","","순무김치","13.68kcal","","","2840.97kcal"
"2021-09-06","","","","","짜먹는요구르트(02)","38.4kcal","","","2840.97kcal"
"2021-09-07","밥","363kcal","흑미밥","374.25kcal","잡곡밥","359.79kcal","","","3371.54kcal"
"2021-09-07","김치찌개(05)(10)","111.6kcal","순두부국(05)(18)","48.72kcal","버섯쇠고기찌개(05)(16)","58.19kcal","","","3371.54kcal"
"2021-09-07","소시지케찹볶음(10)(12)","190.6kcal","오삼불고기(05)(06)(10)(17)","537.6kcal","매콤치킨너겟볶음(06)(12)(15)","578.66kcal","","","3371.54kcal"
"2021-09-07","스크램블에그(01)","157.43kcal","상추쌈(05)(06)","82.62kcal","감자조림(05)(06)","87.24kcal","","","3371.54kcal"
"2021-09-07","열무김치","11.84kcal","배추김치(7~9월)","9kcal","배추김치(7~9월)","9kcal","","","3371.54kcal"
"2021-09-07","우유(백색우유(200ML,연간))(02)","122kcal","아이스크림 콘,완제품(02)","270kcal","","","","","3371.54kcal"
"2021-09-08","밥","363kcal","현미밥","383.51kcal","돈까스덮밥(01)(05)(06)(10)","954.8kcal","","","2933.63kcal"
"2021-09-08","쇠고기무국(05)(16)","33.75kcal","감자짜글이(05)(06)(10)","125.32kcal","미소된장국(05)","22.23kcal","","","2933.63kcal"
