날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-27","배추김치(7~9월)","8.45kcal","열무김치","12.8kcal","","","","","3261.97kcal"
"2021-09-27","우유(백색우유(200ML,연간))(02)","122kcal","감귤 주스(340㎖/ 페트)","44kcal","","","","","3261.97kcal"
"2021-09-28","찹쌀밥","371.82kcal","얼큰떡만둣국(01)(05)(06)(10)","568.19kcal","참치마요덮밥(01)(05)(06)","693.37kcal","","","2975.77kcal"
"2021-09-28","돼지고기김치찌개(06)(10)","78.6kcal","오징어채무침(06)(17)","88.6kcal","아욱된장국(05)(06)","35.22kcal","","","2975.77kcal"
"2021-09-28","새송이쇠고기볶음(05)(06)(16)","110.25kcal","미나리무생채","29.63kcal","양념통닭(01)(06)(15)","736.51kcal","","","2975.77kcal"
"2021-09-28","연두부샐러드(05)(06)","90.5kcal","배추김치(7~9월)","8.45kcal","배추김치(7~9월)","8.45kcal","","","2975.77kcal"
"2021-09-28","열무김치","12.8kcal","우유(백색우유(200ML,연간))(02)","122kcal","방울토마토(비생산기)(12)","21.384kcal","","","2975.77kcal"
"2021-09-29","밥","363kcal","찹쌀밥","371.82kcal","오징어덮밥(05)(06)(17)","576.24kcal","","","3115.18kcal"
"2021-09-29","쇠고기무국(05)(16)","35.58kcal","버섯된장찌개(05)(06)","59.75kcal","계란찜(01)","79.51kcal","","","3115.18kcal"
"2021-09-29","맛김","0kcal","삼겹살구이(10)","567.68kcal","무초절이","34.19kcal","","","3115.18kcal"
"2021-09-29","소시지콩나물찜(05)(06)(10)","279.82kcal","모듬쌈(05)(06)","56.51kcal","치킨텐더샐러드(01)(06)(12)(15)","361.99kcal","","","3115.18kcal"
"2021-09-29","두부조림(05)(06)","107.5kcal","오이풋고추된장무침(05)(06)","28.24kcal","배추김치(7~9월)","8.45kcal","","","3115.18kcal"
"2021-09-29","배추김치(7~9월)","8.45kcal","배추김치(7~9월)","8.45kcal","컵과일(거봉)","46kcal","","","3115.18kcal"
"2021-09-29","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3115.18kcal"
"2021-09-30","밥","363kcal","쫄면(05)(06)","727.41kcal","찰보리비빔밥(열무비빔밥)(05)(06)","536.58kcal","","","3026.25kcal"
"2021-09-30","배추쇠고기국(05)(06)(16)","52.97kcal","돈가스(06)(10)","649.18kcal","우렁된장찌개(05)(06)","112.66kcal","","","3026.25kcal"
"2021-09-30","표고버섯돼지고기볶음(05)(06)(10)","181.93kcal","삶은계란(01)","70.28kcal","계란후라이(01)","125.4kcal","","","3026.25kcal"
"2021-09-30","호박잎/양념장(05)(06)","41.72kcal","백김치","15.12kcal","열무김치","12.8kcal","","","3026.25kcal"
"2021-09-30","깍두기(완제품)(09)","15.2kcal","","","파인애플에이드 190ml","","","","3026.25kcal"
"2021-09-30","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3026.25kcal"
"2021-09-13","우유(백색우유(200ML,연간))(02)","122kcal","","","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","2780.58kcal"
"2021-09-14","밥","363kcal","밥","363kcal","흑미밥","372.86kcal","","","3092.15kcal"
"2021-09-14","쇠고기호박찌개(06)(16)","74.03kcal","감자탕(05)(06)(10)","343.97kcal","아욱된장국(05)(06)","35.22kcal","","","3092.15kcal"
"2021-09-14","가지볶음(05)(06)","27.42kcal","생선묵잡채(05)(06)","186.9kcal","닭갈비(05)(06)(15)","255.75kcal","","","3092.15kcal"
"2021-09-14","두부돈육김치볶음(05)(06)(10)","223.48kcal","미나리오징어무침(06)(17)","80.19kcal","도라지튀김(05)(06)","362.63kcal","","","3092.15kcal"
